DATE,TRANR65Q4,TRANR66Q1,TRANR66Q2,TRANR66Q3,TRANR66Q4,TRANR67Q1,TRANR67Q2,TRANR67Q3,TRANR67Q4,TRANR68Q1,TRANR68Q2,TRANR68Q3,TRANR68Q4,TRANR69Q1,TRANR69Q2,TRANR69Q3,TRANR69Q4,TRANR70Q1,TRANR70Q2,TRANR70Q3,TRANR70Q4,TRANR71Q1,TRANR71Q2,TRANR71Q3,TRANR71Q4,TRANR72Q1,TRANR72Q2,TRANR72Q3,TRANR72Q4,TRANR73Q1,TRANR73Q2,TRANR73Q3,TRANR73Q4,TRANR74Q1,TRANR74Q2,TRANR74Q3,TRANR74Q4,TRANR75Q1,TRANR75Q2,TRANR75Q3,TRANR75Q4,TRANR76Q1,TRANR76Q2,TRANR76Q3,TRANR76Q4,TRANR77Q1,TRANR77Q2,TRANR77Q3,TRANR77Q4,TRANR78Q1,TRANR78Q2,TRANR78Q3,TRANR78Q4,TRANR79Q1,TRANR79Q2,TRANR79Q3,TRANR79Q4,TRANR80Q1,TRANR80Q2,TRANR80Q3,TRANR80Q4,TRANR81Q1,TRANR81Q2,TRANR81Q3,TRANR81Q4,TRANR82Q1,TRANR82Q2,TRANR82Q3,TRANR82Q4,TRANR83Q1,TRANR83Q2,TRANR83Q3,TRANR83Q4,TRANR84Q1,TRANR84Q2,TRANR84Q3,TRANR84Q4,TRANR85Q1,TRANR85Q2,TRANR85Q3,TRANR85Q4,TRANR86Q1,TRANR86Q2,TRANR86Q3,TRANR86Q4,TRANR87Q1,TRANR87Q2,TRANR87Q3,TRANR87Q4,TRANR88Q1,TRANR88Q2,TRANR88Q3,TRANR88Q4,TRANR89Q1,TRANR89Q2,TRANR89Q3,TRANR89Q4,TRANR90Q1,TRANR90Q2,TRANR90Q3,TRANR90Q4,TRANR91Q1,TRANR91Q2,TRANR91Q3,TRANR91Q4,TRANR92Q1,TRANR92Q2,TRANR92Q3,TRANR92Q4,TRANR93Q1,TRANR93Q2,TRANR93Q3,TRANR93Q4,TRANR94Q1,TRANR94Q2,TRANR94Q3,TRANR94Q4,TRANR95Q1,TRANR95Q2,TRANR95Q3,TRANR95Q4,TRANR96Q1,TRANR96Q2,TRANR96Q3,TRANR96Q4,TRANR97Q1,TRANR97Q2,TRANR97Q3,TRANR97Q4,TRANR98Q1,TRANR98Q2,TRANR98Q3,TRANR98Q4,TRANR99Q1,TRANR99Q2,TRANR99Q3,TRANR99Q4,TRANR00Q1,TRANR00Q2,TRANR00Q3,TRANR00Q4,TRANR01Q1,TRANR01Q2,TRANR01Q3,TRANR01Q4,TRANR02Q1,TRANR02Q2,TRANR02Q3,TRANR02Q4,TRANR03Q1,TRANR03Q2,TRANR03Q3,TRANR03Q4,TRANR04Q1,TRANR04Q2,TRANR04Q3,TRANR04Q4,TRANR05Q1,TRANR05Q2,TRANR05Q3,TRANR05Q4,TRANR06Q1,TRANR06Q2,TRANR06Q3,TRANR06Q4,TRANR07Q1,TRANR07Q2,TRANR07Q3,TRANR07Q4,TRANR08Q1,TRANR08Q2,TRANR08Q3,TRANR08Q4,TRANR09Q1,TRANR09Q2,TRANR09Q3,TRANR09Q4,TRANR10Q1,TRANR10Q2,TRANR10Q3,TRANR10Q4,TRANR11Q1,TRANR11Q2,TRANR11Q3,TRANR11Q4,TRANR12Q1,TRANR12Q2,TRANR12Q3,TRANR12Q4,TRANR13Q1,TRANR13Q2,TRANR13Q3,TRANR13Q4,TRANR14Q1,TRANR14Q2,TRANR14Q3,TRANR14Q4,TRANR15Q1,TRANR15Q2,TRANR15Q3,TRANR15Q4,TRANR16Q1,TRANR16Q2,TRANR16Q3,TRANR16Q4,TRANR17Q1,TRANR17Q2,TRANR17Q3,TRANR17Q4,TRANR18Q1,TRANR18Q2,TRANR18Q3,TRANR18Q4,TRANR19Q1,TRANR19Q2,TRANR19Q3,TRANR19Q4,TRANR20Q1,TRANR20Q2,TRANR20Q3,TRANR20Q4,TRANR21Q1,TRANR21Q2,TRANR21Q3,TRANR21Q4,TRANR22Q1
2008:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1902.3,1899.3,1898,1898,1898,1898,1914.2,1914.2,1914.2,1914.2,1909.7,1909.7,1909.7,1909.7,1909.7,1909.7,1909.7,1909.7,1918.2,1918.2,1918.2,1918.2,1918.2,1918.2,1918.2,1918.2,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1930.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8,1927.8
2009:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1993.3,1987.3,1987.3,1987.3,1987.3,2023.7,2023.7,2023.7,2023.7,2029.8,2029.8,2029.8,2029.8,2033.6,2033.6,2033.6,2033.6,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2032.5,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.8,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7,2039.7
2009:Q2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2135.2,2140.3,2140.3,2140.3,2160.2,2160.2,2160.2,2160.2,2167.7,2167.7,2167.7,2167.7,2171.2,2171.2,2171.2,2171.2,2170.3,2170.3,2170.3,2170.3,2170.3,2170.3,2170.3,2170.3,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2177.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6,2178.6
2009:Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2131.3,2137.5,2137.5,2159.3,2159.3,2159.3,2159.3,2170.1,2170.1,2170.1,2170.1,2169.6,2169.6,2169.6,2169.6,2171,2171,2171,2171,2171,2171,2171,2171,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2178.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3,2176.3
2009:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2162.5,2153.9,2188.2,2188.2,2188.2,2188.2,2184.9,2184.9,2184.9,2184.9,2186.1,2186.1,2186.1,2186.1,2187.1,2187.1,2187.1,2187.1,2187.1,2187.1,2187.1,2187.1,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2194.4,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3,2192.3
2010:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2215.4,2245.5,2245.5,2245.5,2245.5,2242.1,2242.1,2242.1,2242.1,2256.9,2256.9,2256.9,2256.9,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2253.3,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2301.1,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2,2303.2
2010:Q2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2282.9,2286.1,2286.1,2286.1,2252.1,2252.1,2252.1,2252.1,2266.2,2266.2,2266.2,2266.2,2260.9,2260.9,2260.9,2260.9,2260.9,2260.9,2260.9,2260.9,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2308.6,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1,2311.1
2010:Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2309.8,2316.4,2316.4,2289.4,2289.4,2289.4,2289.4,2297.9,2297.9,2297.9,2297.9,2288.4,2288.4,2288.4,2288.4,2288.4,2288.4,2288.4,2288.4,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.2,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1,2336.1
2010:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2333,2337.7,2341.2,2341.2,2341.2,2341.2,2316.2,2316.2,2316.2,2316.2,2305.1,2305.1,2305.1,2305.1,2305.1,2305.1,2305.1,2305.1,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2352.9,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1,2350.1
2011:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2355.1,2328.1,2328.1,2328.1,2328.1,2322.5,2322.5,2322.5,2322.5,2309.6,2309.6,2309.6,2309.6,2311.5,2311.5,2311.5,2311.5,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2364,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8,2361.8
